Index,x_m,y_m,
492,-8.39E-06,-1.02E-05,
493,-8.04E-06,-1.05E-05,
494,-7.70E-06,-1.09E-05,
495,-7.35E-06,-1.12E-05,
496,-7.00E-06,-1.15E-05,
497,-6.63E-06,-1.18E-05,
498,-6.20E-06,-1.20E-05,
499,-5.74E-06,-1.22E-05,
500,-5.28E-06,-1.24E-05,
501,-4.82E-06,-1.25E-05,
502,-4.36E-06,-1.27E-05,
503,-3.90E-06,-1.29E-05,
504,-3.44E-06,-1.31E-05,
505,-2.98E-06,-1.32E-05,
506,-2.52E-06,-1.34E-05,
507,-2.06E-06,-1.36E-05,
508,-1.60E-06,-1.37E-05,
509,-1.11E-06,-1.38E-05,
510,-6.11E-07,-1.38E-05,
511,-1.11E-07,-1.37E-05,
512,3.90E-07,-1.37E-05,
513,8.90E-07,-1.37E-05,
514,1.39E-06,-1.37E-05,
515,1.89E-06,-1.37E-05,
516,2.39E-06,-1.36E-05,
517,2.89E-06,-1.36E-05,
518,3.39E-06,-1.36E-05,
519,3.89E-06,-1.35E-05,
520,4.36E-06,-1.34E-05,
521,4.83E-06,-1.32E-05,
522,5.29E-06,-1.30E-05,
523,5.75E-06,-1.28E-05,
524,6.22E-06,-1.25E-05,
525,6.68E-06,-1.23E-05,
526,7.14E-06,-1.21E-05,
527,7.61E-06,-1.19E-05,
528,8.07E-06,-1.17E-05,
529,8.54E-06,-1.15E-05,
530,8.97E-06,-1.12E-05,
531,9.35E-06,-1.09E-05,
532,9.70E-06,-1.05E-05,
533,1.01E-05,-1.01E-05,
534,1.04E-05,-9.73E-06,
535,1.08E-05,-9.36E-06,
536,1.11E-05,-8.98E-06,
537,1.15E-05,-8.60E-06,
538,1.18E-05,-8.22E-06,
539,1.22E-05,-7.84E-06,
540,1.26E-05,-7.47E-06,
541,1.28E-05,-7.03E-06,
542,1.30E-05,-6.54E-06,
543,1.32E-05,-6.05E-06,
544,1.34E-05,-5.55E-06,
545,1.36E-05,-5.06E-06,
546,1.38E-05,-4.57E-06,
547,1.40E-05,-4.08E-06,
548,1.42E-05,-3.59E-06,
549,1.44E-05,-3.10E-06,
550,1.46E-05,-2.60E-06,
551,1.47E-05,-2.10E-06,
552,1.48E-05,-1.57E-06,
553,1.48E-05,-1.03E-06,
554,1.48E-05,-4.92E-07,
555,1.48E-05,4.62E-08,
556,1.48E-05,5.84E-07,
557,1.48E-05,1.12E-06,
558,1.48E-05,1.66E-06,
559,1.48E-05,2.20E-06,
560,1.48E-05,2.74E-06,
561,1.48E-05,3.27E-06,
562,1.46E-05,3.79E-06,
563,1.44E-05,4.30E-06,
564,1.42E-05,4.82E-06,
565,1.41E-05,5.33E-06,
566,1.39E-05,5.84E-06,
567,1.37E-05,6.35E-06,
568,1.35E-05,6.87E-06,
569,1.33E-05,7.38E-06,
570,1.31E-05,7.89E-06,
571,1.29E-05,8.39E-06,
572,1.26E-05,8.83E-06,
573,1.22E-05,9.25E-06,
574,1.18E-05,9.67E-06,
575,1.15E-05,1.01E-05,
576,1.11E-05,1.05E-05,
577,1.07E-05,1.09E-05,
578,1.04E-05,1.14E-05,
579,1.00E-05,1.18E-05,
580,9.65E-06,1.22E-05,
581,9.25E-06,1.26E-05,
582,8.78E-06,1.29E-05,
583,8.29E-06,1.32E-05,
584,7.79E-06,1.34E-05,
585,7.30E-06,1.37E-05,
586,6.81E-06,1.40E-05,
587,6.31E-06,1.42E-05,
588,5.82E-06,1.45E-05,
589,5.32E-06,1.48E-05,
590,4.83E-06,1.51E-05,
591,4.30E-06,1.53E-05,
592,3.74E-06,1.54E-05,
593,3.18E-06,1.55E-05,
594,2.61E-06,1.55E-05,
595,2.05E-06,1.56E-05,
596,1.48E-06,1.57E-05,
597,9.13E-07,1.58E-05,
598,3.47E-07,1.59E-05,
599,-2.20E-07,1.60E-05,
600,-7.86E-07,1.61E-05,
601,-1.36E-06,1.60E-05,
602,-1.93E-06,1.59E-05,
603,-2.50E-06,1.58E-05,
604,-3.07E-06,1.57E-05,
605,-3.64E-06,1.56E-05,
606,-4.21E-06,1.55E-05,
607,-4.78E-06,1.54E-05,
608,-5.36E-06,1.53E-05,
609,-5.93E-06,1.52E-05,
610,-6.48E-06,1.50E-05,
611,-6.99E-06,1.47E-05,
612,-7.50E-06,1.44E-05,
613,-8.02E-06,1.41E-05,
614,-8.53E-06,1.38E-05,
615,-9.04E-06,1.35E-05,
616,-9.55E-06,1.32E-05,
617,-1.01E-05,1.29E-05,
618,-1.06E-05,1.26E-05,
619,-1.11E-05,1.23E-05,
620,-1.15E-05,1.19E-05,
621,-1.19E-05,1.14E-05,
622,-1.23E-05,1.10E-05,
623,-1.26E-05,1.05E-05,
624,-1.30E-05,1.01E-05,
625,-1.34E-05,9.64E-06,
626,-1.38E-05,9.18E-06,
627,-1.42E-05,8.73E-06,
628,-1.46E-05,8.27E-06,
629,-1.49E-05,7.74E-06,
630,-1.51E-05,7.18E-06,
631,-1.53E-05,6.62E-06,
632,-1.56E-05,6.06E-06,
633,-1.58E-05,5.50E-06,
634,-1.60E-05,4.93E-06,
635,-1.62E-05,4.37E-06,
636,-1.65E-05,3.81E-06,
637,-1.67E-05,3.24E-06,
638,-1.68E-05,2.65E-06,
639,-1.68E-05,2.04E-06,
640,-1.69E-05,1.42E-06,
641,-1.69E-05,8.11E-07,
642,-1.69E-05,1.98E-07,
643,-1.70E-05,-4.15E-07,
644,-1.70E-05,-1.03E-06,
645,-1.70E-05,-1.64E-06,
646,-1.71E-05,-2.25E-06,
647,-1.70E-05,-2.86E-06,
648,-1.68E-05,-3.46E-06,
649,-1.67E-05,-4.06E-06,
650,-1.65E-05,-4.66E-06,
651,-1.63E-05,-5.26E-06,
652,-1.62E-05,-5.86E-06,
653,-1.60E-05,-6.47E-06,
654,-1.59E-05,-7.07E-06,
655,-1.57E-05,-7.65E-06,
656,-1.54E-05,-8.20E-06,
657,-1.50E-05,-8.73E-06,
658,-1.47E-05,-9.26E-06,
659,-1.43E-05,-9.79E-06,
660,-1.40E-05,-1.03E-05,
661,-1.37E-05,-1.08E-05,
662,-1.33E-05,-1.14E-05,
663,-1.30E-05,-1.19E-05,
664,-1.26E-05,-1.24E-05,
665,-1.21E-05,-1.28E-05,
666,-1.16E-05,-1.32E-05,
667,-1.11E-05,-1.36E-05,
668,-1.06E-05,-1.40E-05,
669,-1.01E-05,-1.44E-05,
670,-9.63E-06,-1.48E-05,
671,-9.13E-06,-1.52E-05,
672,-8.64E-06,-1.56E-05,
673,-8.08E-06,-1.59E-05,
674,-7.48E-06,-1.62E-05,
675,-6.88E-06,-1.64E-05,
676,-6.28E-06,-1.66E-05,
677,-5.68E-06,-1.69E-05,
678,-5.08E-06,-1.71E-05,
679,-4.48E-06,-1.73E-05,
680,-3.88E-06,-1.76E-05,
681,-3.27E-06,-1.78E-05,
682,-2.63E-06,-1.79E-05,
683,-1.98E-06,-1.79E-05,
684,-1.32E-06,-1.79E-05,
685,-6.73E-07,-1.80E-05,
686,-2.18E-08,-1.80E-05,
687,6.29E-07,-1.81E-05,
688,1.28E-06,-1.81E-05,
689,1.93E-06,-1.82E-05,
690,2.58E-06,-1.81E-05,
691,3.22E-06,-1.79E-05,
692,3.86E-06,-1.78E-05,
693,4.50E-06,-1.76E-05,
694,5.15E-06,-1.75E-05,
695,5.79E-06,-1.73E-05,
696,6.43E-06,-1.72E-05,
697,7.07E-06,-1.70E-05,
698,7.69E-06,-1.68E-05,
699,8.27E-06,-1.65E-05,
700,8.85E-06,-1.62E-05,
701,9.42E-06,-1.58E-05,
702,1.00E-05,-1.55E-05,
703,1.06E-05,-1.51E-05,
704,1.12E-05,-1.48E-05,
705,1.17E-05,-1.45E-05,
706,1.23E-05,-1.41E-05,
