Index,x_m,y_m,t_sec
354,3.40578303845e-05,-2.73862732089e-05,0.00297752
355,3.65265920699e-05,-2.40998540282e-05,0.00298192
356,3.87129002765e-05,-2.06001004151e-05,0.00298632
357,4.05416001256e-05,-1.69313350835e-05,0.0029907
358,4.20169701298e-05,-1.30978978128e-05,0.00299508
359,4.31100779615e-05,-9.14650695888e-06,0.00299946
360,4.38099247795e-05,-5.0859936915e-06,0.00300384
361,4.41352622948e-05,-9.82690285702e-07,0.0030082
362,4.40908713042e-05,3.13726195038e-06,0.00301256
363,4.36669626288e-05,7.24082228385e-06,0.00301692
364,4.2874896086e-05,1.1301663135e-05,0.00302128
365,4.17220155206e-05,1.52342926082e-05,0.0030256
366,4.02198281114e-05,1.90260581758e-05,0.00302992
367,3.83638533324e-05,2.26871373129e-05,0.00303424
368,3.61517028763e-05,2.61662065834e-05,0.00303856
369,3.36316918574e-05,2.94022087549e-05,0.00304288
370,3.08074416567e-05,3.24133814602e-05,0.0030472
371,2.77024110653e-05,3.51526987496e-05,0.00305152
372,2.43743007159e-05,3.76168415472e-05,0.00305584
373,2.08771631812e-05,3.97434941038e-05,0.00306012
374,1.71866589699e-05,4.15339164014e-05,0.0030644
375,1.33526917998e-05,4.30071022348e-05,0.00306868
376,9.37272762e-06,4.41491002762e-05,0.00307296
377,5.34791342263e-06,4.48887516552e-05,0.00307722
378,1.23428735136e-06,4.52718705017e-05,0.00308148
379,-2.84975963203e-06,4.52241481749e-05,0.00308574
380,-6.97636577122e-06,4.4806543254e-05,0.00309
381,-1.10316102268e-05,4.4026463213e-05,0.00309424
382,-1.49711251863e-05,4.29062366997e-05,0.00309848
383,-1.88291450969e-05,4.14573655491e-05,0.00310272
384,-2.25405512358e-05,3.96449593494e-05,0.00310696
385,-2.60546996772e-05,3.75157517909e-05,0.00311118
386,-2.93750884019e-05,3.50544550928e-05,0.0031154
387,-3.24297940609e-05,3.23280610606e-05,0.00311962
388,-3.53023823939e-05,2.93288938623e-05,0.00312384
389,-3.78314704597e-05,2.61081003424e-05,0.00312804
390,-4.00614795764e-05,2.26059277182e-05,0.00313224
391,-4.19823522607e-05,1.89413515069e-05,0.00313644
392,-4.35443275595e-05,1.51318061123e-05,0.00314064
393,-4.47536751797e-05,1.1197257121e-05,0.00314482
394,-4.56399474133e-05,7.15202472712e-06,0.003149
395,-4.61466666281e-05,3.07670262321e-06,0.00315318
396,-4.63100499255e-05,-1.04155264403e-06,0.00315736
397,-4.60846828088e-05,-5.14632250133e-06,0.00316152
398,-4.5498282443e-05,-9.22296731809e-06,0.00316568
399,-4.45574443414e-05,-1.32353475184e-05,0.00316984
400,-4.32621685041e-05,-1.71768401716e-05,0.003174
401,-4.16212003293e-05,-2.09594405996e-05,0.00317814
402,-3.96653528175e-05,-2.45800460589e-05,0.00318228
403,-3.738461397e-05,-2.80162431774e-05,0.00318642
404,-3.47975787846e-05,-3.12866269528e-05,0.00319056
405,-3.19801892311e-05,-3.42748905095e-05,0.00319468
406,-2.89082411805e-05,-3.70095803773e-05,0.0031988
407,-2.55594373666e-05,-3.94418466904e-05,0.00320292
408,-2.20128897975e-05,-4.15663459486e-05,0.00320704
409,-1.83023313549e-05,-4.33919994998e-05,0.00321114
410,-1.44351095424e-05,-4.48650798639e-05,0.00321524
411,-1.04742322647e-05,-4.60055737534e-05,0.00321934
412,-6.43568515117e-06,-4.68172379973e-05,0.00322344
413,-2.3337290801e-06,-4.72490432955e-05,0.00322752
414,1.79376316698e-06,-4.73149834495e-05,0.0032316
415,5.91873295515e-06,-4.70394034677e-05,0.00323568
416,1.00101495417e-05,-4.64100163861e-05,0.00323976
417,1.39944845281e-05,-4.54131812631e-05,0.00324382
418,1.78944611768e-05,-4.40683223467e-05,0.00324788
419,2.16707441107e-05,-4.24174462156e-05,0.00325194
420,2.5290334366e-05,-4.0449653715e-05,0.003256
421,2.8730844484e-05,-3.81698272782e-05,0.00326004
422,3.19563001744e-05,-3.5588055165e-05,0.00326408
423,3.49481411658e-05,-3.27171530213e-05,0.00326812
424,3.7690431839e-05,-2.96082089273e-05,0.00327216
425,4.01409113545e-05,-2.63154254136e-05,0.00327618
