Index,x_m,y_m
439,4.00E-05,2.81E-05
440,3.75E-05,3.14E-05
441,3.48E-05,3.45E-05
442,3.18E-05,3.73E-05
443,2.86E-05,4.00E-05
444,2.52E-05,4.23E-05
445,2.15E-05,4.43E-05
446,1.78E-05,4.60E-05
447,1.39E-05,4.73E-05
448,9.92E-06,4.84E-05
449,5.83E-06,4.91E-05
450,1.70E-06,4.95E-05
451,-2.42E-06,4.95E-05
452,-6.59E-06,4.92E-05
453,-1.07E-05,4.85E-05
454,-1.46E-05,4.75E-05
455,-1.86E-05,4.62E-05
456,-2.23E-05,4.45E-05
457,-2.60E-05,4.26E-05
458,-2.94E-05,4.03E-05
459,-3.27E-05,3.78E-05
460,-3.57E-05,3.50E-05
461,-3.85E-05,3.19E-05
462,-4.11E-05,2.87E-05
463,-4.33E-05,2.52E-05
464,-4.53E-05,2.16E-05
465,-4.70E-05,1.78E-05
466,-4.84E-05,1.39E-05
467,-4.94E-05,9.94E-06
468,-5.01E-05,5.85E-06
469,-5.04E-05,1.75E-06
470,-5.05E-05,-2.36E-06
471,-5.02E-05,-6.46E-06
472,-4.95E-05,-1.05E-05
473,-4.86E-05,-1.45E-05
474,-4.73E-05,-1.85E-05
475,-4.57E-05,-2.22E-05
476,-4.38E-05,-2.59E-05
477,-4.15E-05,-2.94E-05
478,-3.91E-05,-3.27E-05
479,-3.63E-05,-3.58E-05
480,-3.34E-05,-3.87E-05
481,-3.01E-05,-4.13E-05
482,-2.68E-05,-4.37E-05
483,-2.32E-05,-4.57E-05
484,-1.94E-05,-4.75E-05
485,-1.56E-05,-4.90E-05
486,-1.16E-05,-5.01E-05
487,-7.60E-06,-5.09E-05
488,-3.46E-06,-5.15E-05
489,6.64E-07,-5.16E-05
490,4.78E-06,-5.15E-05
491,8.85E-06,-5.10E-05
492,1.29E-05,-5.02E-05
493,1.69E-05,-4.90E-05
494,2.08E-05,-4.75E-05
495,2.45E-05,-4.58E-05
496,2.81E-05,-4.37E-05
497,3.15E-05,-4.14E-05
498,3.47E-05,-3.88E-05
499,3.78E-05,-3.59E-05
500,4.05E-05,-3.28E-05
501,4.30E-05,-2.96E-05
502,4.53E-05,-2.61E-05
503,4.73E-05,-2.25E-05
504,4.89E-05,-1.87E-05
505,5.03E-05,-1.48E-05
506,5.14E-05,-1.08E-05
507,5.21E-05,-6.76E-06
508,5.26E-05,-2.64E-06
509,5.27E-05,1.47E-06
510,5.24E-05,5.62E-06
511,5.18E-05,9.73E-06
512,5.09E-05,1.38E-05
513,4.98E-05,1.77E-05
514,4.83E-05,2.16E-05
515,4.65E-05,2.53E-05
516,4.44E-05,2.89E-05
517,4.21E-05,3.23E-05
518,3.95E-05,3.55E-05
519,3.66E-05,3.85E-05
520,3.36E-05,4.13E-05
521,3.03E-05,4.38E-05
522,2.69E-05,4.61E-05
523,2.33E-05,4.81E-05
524,1.95E-05,4.98E-05
525,1.56E-05,5.12E-05
526,1.16E-05,5.22E-05
527,7.56E-06,5.30E-05
528,3.44E-06,5.35E-05
529,-6.77E-07,5.37E-05
530,-4.79E-06,5.35E-05
531,-8.90E-06,5.30E-05
532,-1.30E-05,5.22E-05
533,-1.70E-05,5.12E-05
534,-2.09E-05,4.98E-05
535,-2.47E-05,4.81E-05
536,-2.83E-05,4.61E-05
537,-3.18E-05,4.38E-05
538,-3.51E-05,4.13E-05
539,-3.81E-05,3.85E-05
540,-4.10E-05,3.55E-05
541,-4.36E-05,3.23E-05
542,-4.60E-05,2.90E-05
543,-4.81E-05,2.54E-05
